Word,Socialness,Concreteness
autograph,4.875,4.23
autographed,5.809523809523810,3.83
automated,3,2.75
automatic,1.72,2.82
automobile,2.619047619047620,4.96
automotive,3.4545454545454500,4.19
autonomy,4.190476190476190,2.04
autopilot,2.5454545454545500,3.08
autumn,2.1176470588235300,3.27
auxiliary,4.428571428571430,2.64
avail,3.4285714285714300,1.33
avalanche,1.2222222222222200,4.32
avenge,5.15,2.07
avenue,2.95,4
aversion,3.0869565217391300,1.85
aviation,4.05,3.39
aviator,4.2,4.57
avoid,3.260869565217390,2.41
avoidance,3.090909090909090,1.86
await,3.888888888888890,1.54
awake,3.608695652173910,3.32
awaken,3,3.45
awakening,3.727272727272730,3.07
awareness,3.9565217391304300,1.84
awe,3.608695652173910,1.89
awesome,4,1.83
awful,3.608695652173910,1.92
awkward,4.476190476190480,2
axe,1.375,5
baby,5.409090909090910,5
babysit,5.3478260869565200,3.45
bachelor,4.863636363636360,4.32
backboard,1.6363636363636400,4.93
backbone,1.75,4.19
backdoor,2,4.5
backdrop,2.136363636363640,4.48
backer,4.7272727272727300,2.8
backfire,2.863636363636360,2.86
backgammon,3.761904761904760,4.47
background,2.9565217391304300,3.26
backpack,1.875,4.96
backroom,2.909090909090910,4.5
backside,2.5238095238095200,4.07
backtrack,2.4761904761904800,2.59
backup,3.5238095238095200,3.2
backwoods,1.565217391304350,3.22
bacterial,3,3.54
badass,3.8095238095238100,2.5
badger,2.5789473684210500,4.37
badness,4.1,2.26
balance,3.652173913043480,2.89
balcony,2.2222222222222200,4.68
ballad,4,3.88
ballerina,4.695652173913040,4.61
ballistic,2.4583333333333300,2.61
ballistics,2.5,3.12
balloon,2.0869565217391300,4.92
ballplayer,5.25,4.68
ballroom,4.363636363636360,4.7
ban,3.9545454545454500,2.37
bandage,2.391304347826090,4.85
bandstand,4.285714285714290,4.19
bandwagon,3.857142857142860,3.29
bandwidth,2.1052631578947400,3.19
banger,2.608695652173910,3.24
banish,5.136363636363640,2.41
bankroll,3.4210526315789500,3.75
bankrupt,4.130434782608700,3.24
bankruptcy,4.523809523809520,2.68
banner,2.6956521739130400,4.8
banquet,5.571428571428570,4
banter,5.7727272727272700,2.85
baptism,5.3478260869565200,3.41
barbarian,4.695652173913040,3.52
barbaric,3.636363636363640,2.5
barbecue,5.190476190476190,4.52
bare,2.1578947368421100,3.21
bargain,4.958333333333330,2.59
bargaining,5.380952380952380,2.76
baritone,2.65,3.67
barkeep,3.35,4.22
barman,5.791666666666670,4.46
barnacle,2.05,4.92
barnyard,2.5652173913043500,4.79
