participant,Word,ACC,RT,PoS,Socialness,Concreteness
R_124EIVnDvUemy0C,summarize,1,0.736,Verb,Nonsocial,2.32
R_124EIVnDvUemy0C,outcome,1,NA,Noun,Nonsocial,2.27
R_124EIVnDvUemy0C,communicate,1,0.76,Verb,Social,3.43
R_124EIVnDvUemy0C,feedback,1,NA,Noun,Social,2.48
R_124EIVnDvUemy0C,recreate,1,1.044,Verb,Nonsocial,2.41
R_124EIVnDvUemy0C,excursion,1,NA,Noun,Social,2.93
R_124EIVnDvUemy0C,ingredient,1,NA,Noun,Nonsocial,3.84
R_124EIVnDvUemy0C,stealth,1,NA,Noun,Nonsocial,2.76
R_124EIVnDvUemy0C,event,1,NA,Noun,Social,2.69
R_124EIVnDvUemy0C,category,1,NA,Noun,Nonsocial,2.82
R_124EIVnDvUemy0C,diversity,1,NA,Noun,Social,2.28
R_124EIVnDvUemy0C,amendment,1,NA,Noun,Nonsocial,2.44
R_124EIVnDvUemy0C,terrorize,1,0.611,Verb,Social,2.84
R_124EIVnDvUemy0C,variation,1,NA,Noun,Nonsocial,2.46
R_124EIVnDvUemy0C,cleanse,1,0.946,Verb,Nonsocial,3.31
R_124EIVnDvUemy0C,reproduce,1,0.877,Verb,Social,3.48
R_124EIVnDvUemy0C,finale,1,NA,Noun,Nonsocial,2.76
R_124EIVnDvUemy0C,morale,1,NA,Noun,Social,1.85
R_124EIVnDvUemy0C,delusion,1,NA,Noun,Nonsocial,2.3
R_124EIVnDvUemy0C,flirtation,1,NA,Noun,Social,2.19
R_124EIVnDvUemy0C,calculate,1,0.66,Verb,Nonsocial,2.74
R_124EIVnDvUemy0C,goodwill,1,NA,Noun,Social,2.54
R_124EIVnDvUemy0C,aggressor,1,NA,Noun,Social,3.29
R_124EIVnDvUemy0C,confess,1,0.925,Verb,Social,2.57
R_124EIVnDvUemy0C,replace,1,0.528,Verb,Nonsocial,3
R_124EIVnDvUemy0C,replenish,1,0.796,Verb,Nonsocial,2.18
R_124EIVnDvUemy0C,connect,1,0.612,Verb,Social,2.88
R_124EIVnDvUemy0C,mutiny,1,NA,Noun,Social,2.24
R_124EIVnDvUemy0C,hypnotize,1,0.76,Verb,Social,2.48
R_124EIVnDvUemy0C,precedent,1,NA,Noun,Nonsocial,1.63
R_12o60uCi7gQgdDy,administer,1,0.924,Verb,Social,2.53
R_12o60uCi7gQgdDy,seduce,1,0.8694,Verb,Social,2.18
R_12o60uCi7gQgdDy,govern,1,0.8583,Verb,Social,2.21
R_12o60uCi7gQgdDy,privilege,1,NA,Noun,Social,1.93
R_12o60uCi7gQgdDy,rearrange,1,0.9604,Verb,Nonsocial,3.26
R_12o60uCi7gQgdDy,visualize,1,0.9541,Verb,Nonsocial,2.45
R_12o60uCi7gQgdDy,pronounce,1,0.9871,Verb,Nonsocial,2.63
R_12o60uCi7gQgdDy,endorse,1,0.9713,Verb,Social,2.41
R_12o60uCi7gQgdDy,install,1,0.9063,Verb,Nonsocial,3.19
R_12o60uCi7gQgdDy,diplomacy,1,NA,Noun,Social,2.04
R_12o60uCi7gQgdDy,contain,1,1.1177,Verb,Nonsocial,2.74
R_12o60uCi7gQgdDy,conclude,1,1.0146,Verb,Nonsocial,1.78
R_12o60uCi7gQgdDy,tremble,1,0.9462,Verb,Nonsocial,3.61
R_12o60uCi7gQgdDy,shallows,1,NA,Noun,Nonsocial,3.33
R_12o60uCi7gQgdDy,engage,1,0.8487,Verb,Social,2.07
R_12o60uCi7gQgdDy,implore,1,1.2444,Verb,Social,1.61
R_12o60uCi7gQgdDy,coexist,0,NA,Verb,Social,2.25
R_12o60uCi7gQgdDy,bleeder,1,NA,Noun,Nonsocial,3.5
R_12o60uCi7gQgdDy,deduct,1,0.7802,Verb,Nonsocial,2.31
R_12o60uCi7gQgdDy,chapter,1,NA,Noun,Nonsocial,3.43
