intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,1,,,,,,A2_B1,privilege,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,1.048,,,,0,26,26,182,1,57,A2_B1,5.12,Noun,1,9.24,1.93,5.81,2.735,9,,,
,,,,k,1,,,,,,A1_B1,chapter,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.959,,,,0,27,27,92,1,30,A2_B2,1.833333333,Noun,1,6.42,3.43,5.7,2.782,7,,,
,,,,k,1,,,,,,A1_B1,carpentry,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,1.4551,,,,0,28,28,8,1,4,A1_B2,2.857142857,Noun,1,9.83,3.48,4.87,1.38,9,,,
,,,,,1,,,,,,A2_B2,implore,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,0,29,29,159,1,49,A2_B2,5,Verb,1,12.44,1.61,4.47,1.732,7,,,
,,,,k,1,,,,,,A2_B1,job,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.7185,,,,0,30,30,202,1,62,A1_B1,5.695652174,Noun,1,5.39,3.19,5.64,4.324,3,,,
,,,,k,1,,,,,,A1_B1,volume,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.7192,,,,0,31,31,84,1,27,A2_B2,2.772727273,Noun,1,6.35,3.07,5.25,2.55,6,,,
,,,,k,0,,,,,,A2_B2,taunt,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.905,,,,0,32,32,207,1,63,A2_B2,5.526315789,Verb,0.88,8.06,2.93,3.4,1.518,5,,,
,,,,k,1,,,,,,A1_B1,variation,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,1.7956,,,,0,33,33,20,1,7,A2_B1,2.090909091,Noun,1,10.11,2.46,5.53,1.813,9,,,
,,,,k,0,,,,,,A2_B2,congratulate,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,1.5827,,,,0,34,34,191,1,59,A1_B1,5.76,Verb,1,9.57,3.04,6.33,2.555,12,,,
,,,,k,0,,,,,,A2_B2,remarry,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,1.8011,,,,0,35,35,71,1,22,A2_B2,5.652173913,Verb,1,8.65,2.72,5.52,1.653,7,,,
