intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,,1,,,,,,,A2_B2,participate,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,29,29,239,1,1,A2_B1,5.869565217,Verb,1,7.05,2.59,5.5,2.352,11,,,
,,,,,1,,,,,,,A2_B2,cherish,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,30,30,59,1,19,A1_B2,5.473684211,Verb,1,8.9,1.73,6.75,2.358,7,,,
,,,,k,1,1.9562,,,,,,A1_B1,timing,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,31,31,136,1,43,A1_B2,2.714285714,Noun,0.96,8.84,2.86,5.67,2.884,6,,,
,,,,k,1,1.0925,,,,,,A1_B1,trajectory,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,32,32,120,1,39,A2_B2,2,Noun,1,11.94,3.1,4.89,1.978,10,,,
,,,,,1,,,,,,,A1_B2,rearrange,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,33,33,237,1,1,A2_B1,2.727272727,Verb,1,8.11,3.26,5.52,1.949,9,,,
,,,,k,0,0.7519,,,,,,A2_B2,wrestle,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,34,34,231,1,70,A2_B1,5.04,Verb,0.91,5,4.33,4.53,2.248,7,,,
,,,,,1,,,,,,,A1_B2,untie,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,35,35,229,1,70,A2_B1,2.476190476,Verb,1,4.84,3.89,4.95,2.423,5,,,
,,,,,1,,,,,,,A1_B2,assess,,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,36,36,17,1,6,A2_B2,2.652173913,Verb,1,11.37,2.26,5.84,1.924,6,,,
,,,,k,1,0.8101,,,,,,A1_B1,catalyst,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,37,37,240,1,2,A2_B2,2.238095238,Noun,1,12.56,2.85,5.3,1.613,8,,,
,,,,,0,,,,,,,A1_B1,wrapper,k,R_3fdw9g220moIdYQ,MainNoun,2022-09-21_11h56.02.034,SCT,2021.2.3,Win32,59.98080614,,,,0,38,38,228,1,70,A2_B1,2.045454545,Noun,1,6.11,4.39,4.79,1.935,7,,,
