intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,k,1,1.5342,,,,,,A2_B1,congress,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,24,24,106,1,34,A1_B2,5.571428571,Noun,1,9.05,3.9,3.55,2.623,8,,,
,,,,,1,,,,,,,A2_B2,dominate,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,25,25,131,1,41,A1_B1,5.826086957,Verb,1,8.89,2.12,4.4,1.982,8,,,
,,,,,1,,,,,,,A2_B2,terrorize,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,26,26,115,1,36,A1_B2,5.363636364,Verb,1,9.72,2.84,2.5,1.431,9,,,
,,,,,1,,,,,,,A1_B2,terminate,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,27,27,1,1,1,A2_B1,2.80952381,Verb,1,11.21,2.29,3.05,2.149,9,,,
,,,,,1,,,,,,,A2_B2,cooperate,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,28,28,211,1,65,A2_B1,6.541666667,Verb,1,8.28,1.87,6.39,2.724,9,,,
,,,,k,1,1.3152,,,,,,A1_B1,layer,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,29,29,28,1,9,A1_B1,2.095238095,Noun,0.97,8.28,3.52,5.2,2.279,5,,,
,,,,k,0,1.5805,,,,,,A1_B2,summarize,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,30,30,213,1,66,A1_B1,2.75,Verb,1,10.74,2.32,4.89,1.322,9,,,
,,,,k,1,1.8105,,,,,,A1_B1,volumes,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,31,31,144,1,45,A2_B2,2,Noun,1,9.58,3.03,6,1.74,7,,,
,,,,,1,,,,,,,A2_B2,reconcile,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,32,32,51,1,17,A2_B1,5.55,Verb,1,10.47,1.79,6.84,1.771,9,,,
,,,,,1,,,,,,,A1_B2,restore,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,33,33,89,1,28,A2_B2,2.583333333,Verb,1,10.78,2.79,5.86,2.405,7,,,
,,,,k,1,1.2172,,,,,,A1_B1,wrapper,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,34,34,228,1,70,A2_B1,2.045454545,Noun,1,6.11,4.39,4.79,1.935,7,,,
,,,,k,1,1.8109,,,,,,A2_B1,uprising,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,35,35,14,1,5,A2_B1,5.285714286,Noun,1,11.17,2.41,4.33,1.778,8,,,
,,,,k,1,1.7142,,,,,,A1_B1,standstill,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,36,36,212,1,66,A1_B1,2.863636364,Noun,1,10,2.39,4.74,1.431,10,,,
,,,,,1,,,,,,,A1_B2,unravel,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,37,37,129,1,41,A1_B1,2.8,Verb,1,10.16,2.59,4.39,1.699,7,,,
,,,,k,1,1.4337,,,,,,A2_B1,ancestry,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,38,38,102,1,33,A1_B1,5.142857143,Noun,1,10.11,2.83,6.29,1.398,8,,,
,,,,k,1,0.8873,,,,,,A2_B1,humanity,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,39,39,146,1,45,A2_B2,6.19047619,Noun,1,9.28,2.36,6.78,2.696,8,,,
,,,,,1,,,,,,,A2_B2,confront,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,40,40,111,1,35,A1_B2,5.086956522,Verb,1,9.89,2.43,4.59,2.34,8,,,
,,,,,1,,,,,,,A1_B2,reinforce,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,41,41,21,1,7,A2_B1,2.904761905,Verb,1,10.2,2.32,5.53,1.69,9,,,
,,,,,1,,,,,,,A1_B2,recreate,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,42,42,117,1,37,A2_B1,2.894736842,Verb,1,9.21,2.41,6,1.732,8,,,
