Word,Socialness,Concreteness,Valence_ext,Frequency,OLD,LDT_zRT,LDT_Accuracy,AoA.Rating,AoA.Test,WordType,zRTclean_mean,ACC,Hits,FalseAlarms,Hit_min_FA,Phonemes_no,phono_upoint,pld20_m,us_ldt_zrt_m,us_ldt_acc,us_ldt_zrtmdur_m,uk_ldt_zrt_m,uk_ldt_acc,uk_ldt_zrtmdur_m,sg_ldt_zrt_m,sg_ldt_acc,sg_ldt_zrtmdur_m,Length
acclaim,3.952380952380953,2.04,1.0999999999999996,1.362,2.85,-0.054,0.94,12.11,13,Abstract,-0.23,93.75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
accommodate,4.782608695652174,1.86,1.3499999999999996,2.041,4.1,-0.152,1,9.9,6,Abstract,0.38,96.77%,NA,NA,NA,8,8,3.25,-0.290840734,0.985294118,-0.634387274,-0.500555365,1,-0.595617292,-0.447397752,0.981132075,-0.541572842,11
accommodation,4.2272727272727275,2.96,1.7599999999999998,1.69,4.05,0.068,0.97,9.58,8,NA,NA,NA,NA,NA,NA,10,8,3.25,-0.198759991,0.984615385,-0.697407453,-0.332237986,1,-0.676068541,-0.014033959,1,-1.087790844,13
accompany,5.782608695652174,3.07,0.46999999999999975,2.386,3.7,-0.22,0.91,10.75,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
accomplice,5.476190476190476,3.34,0.40000000000000036,2.337,3.65,-0.06,0.97,9.78,8,NA,NA,NA,NA,NA,NA,8,7,3.3,-0.117101963,0.969230769,-0.656313713,-0.118304817,0.98245614,-0.36278416,-0.173376967,0.981481481,-0.599454554,10
accomplish,4.217391304347826,2.33,2.45,2.476,3.75,-0.227,0.97,7.84,6,Abstract,0.17,93.33%,NA,NA,NA,8,9,3.7,-0.332908845,1,-0.818324193,-0.160730604,1,-0.37365906,-0.30271455,0.981132075,-0.647836283,10
accomplishment,4.62152133580705,2.5,3.0500000000000007,1.987,4.7,0.039,0.97,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
accord,4.157894736842105,1.57,1.38,1.924,2.45,-0.378,0.97,9.65,10,Abstract,0.17,77.42%,0.8,0.37,0.43,5,6,1.8,-0.204547324,0.848484848,-0.101028731,-0.119925591,0.982142857,0.069585365,-0.157564284,0.962962963,0.302353575,6
accordion,2.0526315789473686,4.86,0.2599999999999998,1.833,3.6,0.4,0.76,8.61,4,Concrete,-0.08,86.67%,NA,NA,NA,8,6,2.95,-0.017892469,0.803030303,-0.004304579,-0.044782967,0.821428571,0.366378896,0.198452255,0.907407407,0.285976901,9
account,2.875,3.08,0.3899999999999997,3.358,2.6,-0.679,1,8.26,2,NA,NA,NA,0.65,0.38,0.27,5,6,1.9,-0.925044849,0.970149254,-0.307066978,-0.7873681,1,-0.292633886,-0.639981215,1,-0.301849641,7
accountant,5,4.41,0.1900000000000004,2.5,3.6,0.053,0.94,11.67,4,Concrete,-0.6,100.00%,NA,NA,NA,8,7,3,-0.245809442,1,-0.367122747,-0.435794864,1,-0.803246331,-0.460458428,1,-0.419927897,10
accounting,2.9166666666666665,3.27,0.5800000000000001,2.364,2.7,-0.43,1,12.05,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
accumulate,2.5238095238095237,3,1.33,1.477,3.45,-0.242,1,12.3,6,NA,NA,NA,NA,NA,NA,10,10,3.9,-0.012610992,0.939393939,-0.994615876,-0.112697539,0.964912281,-0.631101963,0.263907148,0.945454545,-0.86564214,10
accuracy,3.047619047619047,1.85,1.3200000000000003,1.887,3.6,-0.614,1,9.71,8,Abstract,0.14,83.87%,NA,NA,NA,8,7,3.2,-0.544266683,0.984848485,-0.266313504,-0.69743778,1,-0.456307415,-0.358488038,0.981481481,-0.76565559,8
accurate,3.409090909090909,1.9,2.42,2.603,2.75,-0.221,1,9.44,8,Abstract,-0.16,80.65%,NA,NA,NA,7,8,2.75,-0.939542687,1,-0.909090686,-0.202509991,0.981818182,-0.098168619,-0.555617125,1,-0.778558907,8
accursed,3.238095238095238,1.93,1.79,1.532,NA,NA,NA,12.71,8,Abstract,0.14,100.00%,NA,NA,NA,7,5,2.95,0.100113737,0.439393939,0.248352644,0.532780399,0.403508772,-0.095176799,0.040020645,0.345454545,0.347886023,8
accuse,4.916666666666667,2.25,2.32,2.464,2.25,-0.522,1,9.1,4,Abstract,-0.03,93.33%,0.62,0.22,0.4,5,6,1.75,-0.538623516,1,-0.713310108,-0.479364854,0.98245614,-0.619212024,0.1381302,0.963636364,-0.722182308,6
ache,2.9047619047619047,3.43,1.73,2.107,1.65,-0.496,0.91,5.79,2,NA,NA,NA,0.81,0.09,0.73,2,3,1,-0.519276914,0.909090909,0.445244831,-0.493940998,0.803571429,0.497527309,-0.517337004,0.796296296,0.968555991,4
achieve,3.8,2.29,2.75,2.574,2.65,-0.491,0.97,8.53,4,Abstract,-0.27,96.77%,0.75,0.27,0.48,4,5,2,-0.590996217,1,-0.917912006,-0.728402024,0.981818182,-0.930973216,-0.864835158,1,-0.632044875,7
achy,2,2.96,1.85,NA,NA,NA,NA,8.06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
acknowledge,4.545454545454546,2.03,1.4299999999999997,2.497,4.35,-0.151,0.97,9.11,8,Abstract,0.09,96.88%,NA,NA,NA,7,8,3,-0.403970964,0.984848485,-0.686239863,-0.371235669,1,-0.782585703,-0.162831694,0.981818182,-0.711241848,11
acknowledgement,4.739130434782608,2.62,1.5300000000000002,1.342,6.05,0.1,0.88,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
acorn,1.6,4.96,0.8499999999999996,1.58,1.8,-0.237,0.79,5.95,2,Concrete,-0.68,90.32%,0.77,0.1,0.67,5,3,1.9,-0.515142307,0.878787879,-0.188472313,-0.509934661,0.912280702,0.139791944,-0.289343385,0.851851852,-0.080356359,5
acoustic,2.409090909090909,3.28,2.0999999999999996,1.699,3.1,0.189,0.97,12.39,10,NA,NA,NA,NA,NA,NA,7,8,2.9,-0.490397152,0.939393939,-0.560356481,-0.36361776,1,-0.266577333,-0.10215153,0.909090909,-0.125254314,8
acoustics,2.12,3.12,1.33,1.362,3.5,-0.021,0.91,11.32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
acquaintance,5.409090909090909,3.41,0.5800000000000001,2.438,5.3,0.08,1,10.48,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
acquire,3.95,2.93,0.5,2.134,2.55,-0.302,0.94,9.94,6,NA,NA,NA,0.63,0.28,0.35,6,4,1.9,-0.561425196,0.970588235,-0.288354929,-0.732418575,0.981818182,-0.096981489,-0.752845484,1,-0.32184022,7
acquisition,4,2.6,0,1.875,3.55,-0.005,0.94,13.63,12,NA,NA,NA,NA,NA,NA,9,5,3,-0.325961702,0.984848485,-0.569096194,-0.133182213,1,-0.437415306,-0.288673805,0.963636364,-0.593357829,11
acquit,4.894736842105263,2.13,0.5999999999999996,1.398,2.75,0.279,0.86,13.22,10,Abstract,0.19,77.42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
act,4.842105263157895,2.46,0.6399999999999997,3.745,1.5,-0.56,1,6.42,2,Abstract,0.33,56.25%,0.68,0.18,0.51,3,4,1.6,-1.133966109,0.984615385,-0.276205073,-0.845265162,0.946428571,-0.003583731,-1.11021923,0.944444444,0.207098438,3
action,4.045454545454546,2.86,1,3.494,1.85,-0.801,1,6.67,2,NA,NA,NA,0.53,0.35,0.18,5,3,1.8,-1.146365147,1,-0.232992042,-0.801270963,1,-0.039170533,-1.006984948,0.945454545,-0.088724972,6
activate,2.7,2.97,0.7000000000000002,2.378,2.6,-0.452,0.97,11.11,6,NA,NA,NA,NA,NA,NA,7,6,2.75,-0.418392906,1,-1.0502863,-0.503079282,1,-0.906062492,-0.198853941,1,-0.460918652,8
activation,3,2.41,1.1399999999999997,1.643,2.8,0.194,1,9.78,NA,Abstract,0.03,87.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
active,4.619047619047619,3.32,1.4699999999999998,2.767,2.1,-0.595,1,6.53,4,NA,NA,NA,0.67,0.27,0.4,5,6,2.3,-0.802643648,0.985074627,-0.759885741,-0.689673102,0.981481481,-0.45318839,-0.921332351,0.962264151,-0.682528014,6
activist,6.043478260869565,3.34,1.2400000000000002,1.708,3.2,-0.244,1,11.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
activity,4.291666666666667,2.72,1.21,2.818,2.55,-0.372,1,6.47,8,NA,NA,NA,NA,NA,NA,8,7,3.05,-0.396731135,1,-0.69855944699999994,-0.594889611,1,-0.550334441,-0.590370078,0.962962963,-0.781688048,8
actuality,3.2777777777777777,1.96,0.40000000000000036,1.398,2.95,0.046,1,12.38,8,Abstract,-0.12,90.00%,NA,NA,NA,10,6,3.9,0.02854233,0.865671642,-0.794694655,-0.075614404,0.807017544,-0.503589771,0.085633095,0.851851852,-0.658410611,9
acupuncture,3.652173913043478,3.83,0.1900000000000004,1.58,4.75,0.316,0.91,11.79,8,Concrete,0.27,96.77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
adage,2.4545454545454546,1.86,0.5499999999999998,1.518,2,0.383,0.41,16.21,14,Abstract,0.27,90.63%,0.53,0.13,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
adamant,3.44,1.65,0.4500000000000002,1.708,2.95,0.198,0.66,14.29,12,Abstract,0.02,93.55%,NA,NA,NA,7,8,2.4,-0.650050491,0.924242424,-0.102512975,-0.529777737,0.947368421,-0.146631565,-0.49625097,0.909090909,-0.253380799,7
adapt,4.090909090909091,2.41,0.8399999999999999,2.13,1.95,-0.556,1,9,8,Abstract,-0.02,100.00%,0.7,0.4,0.3,5,6,2.05,-0.728679016,0.984615385,-0.377199532,-0.729238959,0.982142857,-0.541422371,-0.589338321,0.981481481,-0.090401497,5
adaptation,3.869565217391304,2.04,0.8200000000000003,1.914,3.2,0.089,0.94,11.39,8,Abstract,0.26,93.55%,NA,NA,NA,9,3,3.45,-0.273872682,1,-0.759936326,-0.275919075,1,-0.768109518,-0.267468462,1,-0.690949061,10
add,2.4545454545454546,3,1.2300000000000004,3.227,1.6,-0.576,1,5.1,2,NA,NA,NA,0.55,0.1,0.45,2,3,1,-0.695305437,0.984848485,0.39909068,-0.878607564,0.875,0.667625559,-0.344366122,0.781818182,0.732829191,3
addict,4.333333333333333,3.14,2.14,2.438,2.45,-0.7,0.97,11.17,10,NA,NA,NA,0.9,0.18,0.72,5,5,2.55,-0.624306607,0.818181818,-0.131742863,-0.970472693,0.964285714,-0.140704016,-0.764122987,0.963636364,0.012729846,6
addiction,4.458333333333333,2.85,1.48,2.301,2.7,-0.457,0.97,12.11,NA,NA,NA,NA,NA,NA,NA,7,5,1.9,-0.92523324,0.954545455,-0.377750578,-0.995415641,1,-0.458077639,-0.546490223,0.981818182,-0.643548071,9
addictive,4.521739130434782,2.22,1.48,1.763,NA,NA,NA,10.33,NA,Abstract,0.24,87.50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
additional,2.25,2.43,1.1500000000000004,2.479,3.4,-0.297,0.97,9,8,Abstract,-0.03,93.55%,NA,NA,NA,8,7,2.75,-0.375895706,0.96969697,-0.252492768,-0.462966029,0.98245614,-0.028395575,-0.604417349,0.981818182,-0.445895805,10
adequate,4,1.97,0.2999999999999998,2.124,3.15,-0.276,0.97,10.35,8,Abstract,-0.21,100.00%,NA,NA,NA,7,4,2.85,-0.765183595,1,-0.805383503,-0.882850524,1,-0.145706597,-0.61981801,1,-0.513214897,8
adhere,3.2916666666666665,2.62,0.16999999999999993,1.477,2,-0.212,0.94,10.78,12,NA,NA,NA,0.73,0.22,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
adhesive,1.9047619047619049,4.35,0.8399999999999999,1.681,3.2,-0.058,0.97,9.17,6,Concrete,0.23,43.75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
adjacent,2.238095238095238,3.63,0.15000000000000036,1.839,3.55,-0.086,1,11.05,10,Concrete,NA,0.00%,NA,NA,NA,7,3,2.85,-0.481757465,0.984848485,-0.966124255,-0.464772588,0.964285714,-1.078995896,-0.546829075,0.981481481,-0.571659828,8
adjective,2.347826086956522,2.43,0.9500000000000002,1.415,2.9,-0.414,0.94,8.6,4,Abstract,0.06,68.75%,NA,NA,NA,7,6,3.2,-0.256919743,0.911764706,-0.518076454,-0.056791852,0.833333333,-0.070860038,-0.500437067,0.981132075,-0.619119765,9
adjoining,2.7,2.93,0.05999999999999961,1.763,2.85,0.196,0.91,11.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
adjourn,3.5416666666666665,2.54,0.5,1.826,2.85,-0.103,0.94,12.59,6,NA,NA,NA,0.75,0.12,0.63,5,6,2,-0.398971625,0.970588235,0.114434546,-0.301596861,0.854545455,0.163929991,-0.157858432,0.886792453,0.030200358,7
adjust,2.608695652173913,2.93,0.7599999999999998,2.459,2.45,-0.532,0.91,8.43,2,NA,NA,NA,0.53,0.27,0.27,5,6,1.9,-0.628331624,0.985294118,-0.844296134,-0.460387992,0.981818182,-0.425630479,-0.493879666,0.849056604,-0.244325745,6
adjuster,2.5238095238095237,3.23,0.75,1.322,NA,NA,NA,11.28,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
adjustment,2.857142857142857,2.81,0.5300000000000002,2.201,3.4,-0.35,0.91,9.74,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
admin,4.826086956521739,2.96,0.6299999999999999,NA,NA,NA,NA,13.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
administer,5,2.53,0.5999999999999996,1.935,3.45,0.005,0.97,9.42,8,NA,NA,NA,NA,NA,NA,10,9,3.9,-0.044341596,0.96969697,-0.426795141,-0.326187269,0.98245614,-0.138196234,-0.105091284,1,-0.498715688,10
administration,5.2,2.78,0.5499999999999998,2.589,4.3,0.285,1,11.11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
administrator,5.043478260869565,3.89,0.3200000000000003,1.929,4.75,0.278,1,12.22,6,Concrete,-0.42,96.88%,NA,NA,NA,13,12,5,0.621180785,0.955223881,-0.187576533,0.209730686,1,-0.368329895,0.281571945,1,-0.859589712,13
admiral,4.88,4.11,0.20000000000000018,2.927,2.5,-0.368,0.97,8.72,4,Concrete,-0.12,51.61%,NA,NA,NA,7,8,2.75,-0.331275095,0.863636364,0.325799534,-0.550208426,0.894736842,-0.192272361,-0.602158266,0.945454545,0.151195003,7
admire,5.583333333333333,2.04,2.3499999999999996,2.859,1.85,-0.615,1,7.42,2,Abstract,-0.58,90.32%,0.68,0.33,0.35,6,7,2.25,-0.62905219,1,-0.55404909,-0.856419236,1,-0.364674581,-0.795116534,1,-0.562894769,6
admirer,5.909090909090909,2.93,2.05,2.182,2.45,-0.009,0.94,8.78,4,NA,NA,NA,NA,NA,NA,8,7,3.55,0.102568388,0.71641791,-0.306682838,-0.150819885,0.981481481,-7.9542e-4,-0.355727265,1,-0.507232782,7
admissible,3.1818181818181817,1.88,0.16000000000000014,1.58,3.55,0.201,0.88,13.1,8,Abstract,0.13,96.88%,NA,NA,NA,9,5,3.3,-0.048315361,0.764705882,0.257755183,-0.132692396,0.745454545,-0.082397326,0.401969054,0.698113208,0.229419683,10
