item,e1hit,e1fa,e1h_fa,e2hit,e2fa,e2h_fa,both_hit,both_fa,both_h_fa,d_both,c_both,logzeno,sub_freq,aoa,img_rating,pon,old,pld,Length
niche,0.83,0.07,0.76,0.97,0.27,0.70,0.90,0.17,0.73,2.23,-0.16,0.59,3.37,6.34,2.90,1.00,1.95,1.45,5.00
nick,0.72,0.21,0.51,0.77,0.13,0.63,0.75,0.17,0.57,1.60,0.14,1.24,3.47,5.03,4.20,23.00,1.45,1.00,4.00
niece,0.79,0.04,0.76,0.77,0.10,0.67,0.78,0.07,0.71,2.26,0.36,0.75,3.93,3.84,5.40,2.00,1.85,1.35,5.00
nigh,0.86,0.10,0.75,0.87,0.13,0.73,0.86,0.12,0.74,2.27,0.05,0.51,2.00,6.32,1.80,4.00,1.80,1.00,4.00
night,0.76,0.18,0.58,0.70,0.10,0.60,0.73,0.14,0.59,1.69,0.24,2.67,6.13,2.34,5.80,18.00,1.50,1.00,5.00
nil,0.79,0.14,0.65,0.90,0.10,0.80,0.84,0.12,0.72,2.19,0.09,0.21,2.80,6.31,1.90,3.00,1.65,1.00,3.00
nine,0.75,0.07,0.68,0.70,0.03,0.67,0.73,0.05,0.67,2.23,0.52,1.82,5.50,2.34,6.10,22.00,1.35,1.00,4.00
ninth,0.79,0.14,0.65,0.80,0.10,0.70,0.79,0.12,0.67,2.00,0.18,0.88,4.03,3.38,4.90,1.00,2.00,1.90,5.00
nip,0.86,0.21,0.65,0.77,0.13,0.63,0.81,0.17,0.64,1.83,0.02,0.45,2.63,4.19,3.50,26.00,1.25,1.00,3.00
nix,0.81,0.20,0.61,0.73,0.03,0.70,0.77,0.12,0.66,1.94,0.22,0.11,2.43,6.28,1.70,4.00,1.70,1.30,3.00
no,0.59,0.10,0.49,0.90,0.07,0.83,0.75,0.08,0.66,2.05,0.36,3.27,6.73,1.56,2.10,5.00,1.35,1.00,2.00
nod,0.70,0.37,0.34,0.83,0.23,0.60,0.77,0.30,0.47,1.26,-0.10,0.90,3.60,3.56,4.10,16.00,1.35,1.00,3.00
node,0.80,0.22,0.58,0.73,0.27,0.47,0.77,0.24,0.52,1.42,-0.02,0.43,3.43,6.22,2.40,9.00,1.25,1.00,4.00
noise,0.72,0.21,0.51,0.67,0.27,0.40,0.70,0.24,0.45,1.22,0.10,1.94,5.57,2.81,3.90,2.00,1.70,1.70,5.00
none,0.64,0.10,0.54,0.57,0.13,0.43,0.60,0.12,0.49,1.45,0.46,1.94,6.00,3.03,2.60,3.00,1.30,1.00,4.00
nook,0.70,0.07,0.63,0.60,0.10,0.50,0.65,0.09,0.56,1.74,0.49,0.40,2.40,5.00,3.60,9.00,1.55,1.35,4.00
noon,0.71,0.17,0.54,0.73,0.13,0.60,0.72,0.15,0.57,1.62,0.21,1.53,5.87,3.66,4.00,10.00,1.60,1.15,4.00
noose,0.83,0.07,0.76,0.83,0.10,0.73,0.83,0.09,0.75,2.33,0.20,0.33,2.40,5.28,5.90,4.00,1.70,1.35,5.00
nor,0.52,0.14,0.37,0.60,0.17,0.43,0.56,0.15,0.40,1.16,0.43,2.12,3.80,5.34,1.50,5.00,1.60,1.00,3.00
norm,0.72,0.18,0.55,0.70,0.13,0.57,0.71,0.16,0.56,1.57,0.23,0.59,3.83,5.34,2.50,5.00,1.70,1.60,4.00
north,0.66,0.04,0.62,0.80,0.07,0.73,0.73,0.05,0.68,2.24,0.51,2.55,4.93,3.75,4.50,2.00,1.90,1.75,5.00
nose,0.71,0.21,0.51,0.80,0.03,0.77,0.76,0.12,0.64,1.87,0.24,2.00,4.63,2.26,6.40,8.00,1.20,1.00,4.00
not,0.39,0.03,0.36,0.53,0.00,0.53,0.46,0.02,0.45,2.02,1.10,3.64,6.80,2.63,2.00,23.00,1.05,1.00,3.00
notch,0.79,0.29,0.51,0.73,0.20,0.53,0.76,0.24,0.52,1.41,-0.01,0.54,3.13,5.25,4.10,6.00,1.95,1.60,5.00
note,0.61,0.14,0.47,0.83,0.17,0.67,0.72,0.15,0.57,1.61,0.22,1.97,5.67,3.42,5.50,9.00,1.50,1.00,4.00
noun,0.79,0.07,0.72,0.80,0.07,0.73,0.79,0.07,0.73,2.31,0.34,1.59,4.13,3.88,2.70,1.00,1.85,1.70,4.00
now,0.48,0.21,0.27,0.43,0.07,0.37,0.46,0.14,0.32,0.97,0.59,3.13,6.27,2.56,1.90,11.00,1.05,1.15,3.00
nude,0.83,0.11,0.72,0.87,0.13,0.73,0.85,0.12,0.73,2.20,0.06,0.26,4.43,4.53,5.80,6.00,1.70,1.00,4.00
nudge,0.75,0.17,0.58,0.80,0.30,0.50,0.78,0.24,0.54,1.47,-0.02,0.24,3.47,4.52,4.10,9.00,1.75,1.85,5.00
null,0.80,0.56,0.24,0.80,0.27,0.53,0.80,0.41,0.39,1.07,-0.31,0.13,2.77,5.94,2.30,10.00,1.55,1.15,4.00
numb,0.57,0.14,0.43,0.73,0.33,0.40,0.65,0.24,0.42,1.11,0.16,0.78,3.60,4.19,2.80,5.00,1.90,1.10,4.00
nun,0.89,0.07,0.82,0.83,0.07,0.77,0.86,0.07,0.80,2.59,0.20,0.38,2.87,3.69,5.90,12.00,1.40,1.00,3.00
nurse,0.79,0.07,0.72,0.73,0.03,0.70,0.76,0.05,0.71,2.34,0.45,1.65,4.20,3.41,6.40,3.00,1.80,1.65,5.00
nut,0.77,0.11,0.66,0.70,0.17,0.53,0.73,0.14,0.59,1.71,0.23,1.03,4.53,2.75,6.20,13.00,1.40,1.00,3.00
nymph,0.93,0.18,0.75,0.97,0.03,0.93,0.95,0.11,0.84,2.88,-0.19,0.66,2.83,6.13,4.00,2.00,2.60,1.85,5.00
oak,0.61,0.24,0.37,0.87,0.17,0.70,0.74,0.20,0.53,1.46,0.10,1.54,3.27,3.94,6.00,4.00,1.65,1.00,3.00
oath,0.71,0.21,0.51,0.83,0.10,0.73,0.77,0.15,0.62,1.77,0.14,0.99,3.03,4.81,3.00,2.00,1.55,1.40,4.00
odd,0.71,0.10,0.61,0.57,0.03,0.53,0.64,0.07,0.57,1.85,0.56,1.48,5.17,3.77,2.70,1.00,1.75,1.00,3.00
off,0.50,0.10,0.40,0.47,0.00,0.47,0.48,0.05,0.43,1.59,0.84,2.87,6.53,2.47,2.60,2.00,1.80,1.30,3.00
oft,0.74,0.13,0.61,0.97,0.13,0.83,0.85,0.13,0.72,2.16,0.03,0.09,2.48,6.23,1.50,4.00,1.65,1.65,3.00
oil,0.76,0.07,0.69,0.93,0.17,0.77,0.85,0.12,0.73,2.20,0.08,2.29,4.07,3.94,6.40,9.00,1.50,1.00,3.00
old,0.71,0.31,0.40,0.53,0.13,0.40,0.62,0.22,0.40,1.08,0.23,2.92,5.97,2.61,4.30,11.00,1.55,1.15,3.00
once,0.59,0.14,0.44,0.57,0.07,0.50,0.58,0.10,0.47,1.45,0.53,2.70,5.70,3.34,2.00,1.00,1.90,1.75,4.00
one,0.55,0.14,0.41,0.67,0.03,0.63,0.61,0.09,0.52,1.63,0.54,3.55,6.43,1.68,4.90,3.00,1.25,1.00,3.00
ooze,0.93,0.07,0.86,0.93,0.13,0.80,0.93,0.10,0.83,2.76,-0.11,0.43,2.97,4.13,4.60,3.00,1.80,1.05,4.00
ore,0.83,0.14,0.68,0.80,0.20,0.60,0.81,0.17,0.64,1.84,0.03,1.45,2.53,5.63,4.00,21.00,1.00,1.00,3.00
ouch,0.74,0.10,0.64,0.67,0.10,0.57,0.70,0.10,0.60,1.82,0.37,0.62,5.10,2.19,3.20,1.00,1.75,1.75,4.00
ought,0.55,0.18,0.37,0.53,0.17,0.37,0.54,0.17,0.37,1.05,0.42,1.67,4.47,5.16,1.50,8.00,1.75,1.00,5.00
ounce,0.68,0.03,0.64,0.60,0.03,0.57,0.64,0.03,0.61,2.18,0.73,0.83,4.47,4.75,4.00,5.00,1.75,1.85,5.00
our,0.67,0.19,0.48,0.70,0.20,0.50,0.68,0.19,0.49,1.35,0.20,3.01,6.53,2.88,1.80,7.00,1.40,1.00,3.00
oust,0.83,0.14,0.68,0.87,0.03,0.83,0.85,0.09,0.76,2.38,0.16,0.09,2.50,6.25,1.70,2.00,1.55,1.75,4.00
out,0.64,0.17,0.47,0.57,0.00,0.57,0.60,0.09,0.52,1.63,0.55,3.39,6.59,2.56,2.20,17.00,1.15,1.00,3.00
owl,0.72,0.07,0.65,0.83,0.07,0.77,0.78,0.07,0.71,2.25,0.36,1.50,2.93,2.88,6.50,9.00,1.40,1.15,3.00
own,0.56,0.17,0.39,0.60,0.17,0.43,0.58,0.17,0.41,1.16,0.39,2.83,5.47,3.28,2.20,10.00,1.55,1.00,3.00
pace,0.57,0.22,0.34,0.60,0.20,0.40,0.58,0.21,0.37,1.01,0.30,1.37,3.57,4.56,3.30,12.00,1.00,1.00,4.00
pack,0.59,0.21,0.37,0.50,0.17,0.33,0.54,0.19,0.35,0.98,0.38,1.57,4.83,3.56,4.60,24.00,1.15,1.00,4.00
pact,0.64,0.00,0.64,0.57,0.07,0.50,0.60,0.03,0.57,2.10,0.78,0.63,3.33,5.06,2.40,6.00,1.55,1.00,4.00
pad,0.79,0.24,0.54,0.77,0.30,0.47,0.78,0.27,0.51,1.37,-0.07,1.19,4.20,3.69,4.70,17.00,1.00,1.00,3.00
page,0.53,0.11,0.42,0.73,0.13,0.60,0.63,0.12,0.51,1.50,0.41,2.34,5.97,3.03,5.90,8.00,1.35,1.60,4.00
pail,0.70,0.30,0.40,0.77,0.23,0.53,0.74,0.27,0.47,1.25,0.00,1.19,2.53,3.72,5.30,19.00,1.00,1.00,4.00
pain,0.57,0.24,0.33,0.77,0.27,0.50,0.67,0.25,0.42,1.10,0.11,1.83,4.90,3.22,4.30,21.00,1.15,1.00,4.00
paint,0.79,0.31,0.48,0.77,0.20,0.57,0.78,0.26,0.52,1.42,-0.05,1.81,4.23,3.09,6.30,6.00,1.50,1.25,5.00
pair,0.64,0.21,0.44,0.80,0.33,0.47,0.72,0.27,0.45,1.20,0.01,1.83,4.90,3.31,4.30,10.00,1.55,1.00,4.00
pal,0.83,0.00,0.83,0.70,0.10,0.60,0.76,0.05,0.71,2.36,0.46,0.71,3.93,3.23,4.60,3.00,1.00,1.00,3.00
pale,0.72,0.29,0.44,0.83,0.33,0.50,0.78,0.31,0.47,1.27,-0.14,1.61,4.30,4.00,4.20,16.00,1.00,1.00,4.00
pall,0.66,0.18,0.48,0.70,0.13,0.57,0.68,0.16,0.52,1.47,0.28,0.36,1.93,6.34,1.90,13.00,1.10,1.00,4.00
palm,0.76,0.14,0.62,0.60,0.23,0.37,0.68,0.19,0.49,1.35,0.21,1.42,4.07,3.44,6.70,5.00,1.55,1.85,4.00
pan,0.59,0.04,0.55,0.73,0.07,0.67,0.66,0.05,0.61,2.05,0.61,1.53,4.20,3.19,6.30,20.00,1.00,1.00,3.00
pane,0.64,0.14,0.50,0.93,0.20,0.73,0.79,0.17,0.62,1.76,0.08,0.53,2.78,5.00,4.20,11.00,1.00,1.00,4.00
pang,0.60,0.22,0.38,0.73,0.10,0.63,0.67,0.16,0.51,1.42,0.28,0.33,2.27,5.72,2.50,16.00,1.30,1.00,4.00
pant,0.64,0.14,0.50,0.73,0.07,0.67,0.69,0.10,0.59,1.76,0.39,0.21,3.91,3.56,4.30,11.00,1.15,1.15,4.00
pants,0.79,0.07,0.72,0.67,0.07,0.60,0.73,0.07,0.66,2.09,0.45,1.31,5.53,2.44,6.80,1.00,1.55,1.75,5.00
pap,0.90,0.14,0.75,0.93,0.13,0.80,0.91,0.14,0.78,2.46,-0.14,0.61,2.13,5.75,2.80,23.00,1.00,1.00,3.00
par,0.45,0.14,0.31,0.90,0.13,0.77,0.67,0.14,0.54,1.54,0.32,0.55,3.37,5.38,2.30,14.00,1.00,1.00,3.00
pare,0.70,0.00,0.70,0.67,0.23,0.43,0.68,0.12,0.57,1.67,0.36,0.21,2.17,5.59,2.10,20.00,1.00,1.00,4.00
park,0.64,0.21,0.44,0.70,0.13,0.57,0.67,0.17,0.50,1.40,0.25,1.93,5.47,3.06,6.50,12.00,1.20,1.10,4.00
part,0.50,0.17,0.33,0.43,0.23,0.20,0.47,0.20,0.26,0.75,0.46,2.85,5.53,3.38,3.30,11.00,1.00,1.05,4.00
pass,0.47,0.30,0.17,0.63,0.17,0.47,0.55,0.23,0.32,0.86,0.30,2.08,5.50,3.22,4.10,11.00,1.25,1.00,4.00
past,0.48,0.14,0.34,0.77,0.27,0.50,0.62,0.20,0.42,1.14,0.25,2.36,5.10,3.72,2.70,9.00,1.10,1.00,4.00
paste,0.79,0.14,0.65,0.80,0.17,0.63,0.80,0.15,0.64,1.85,0.09,1.09,4.03,3.39,5.40,6.00,1.35,1.00,5.00
pat,0.48,0.18,0.30,0.73,0.13,0.60,0.61,0.16,0.45,1.29,0.37,1.48,3.60,3.00,4.40,24.00,1.00,1.00,3.00
patch,0.60,0.19,0.41,0.87,0.33,0.53,0.73,0.26,0.47,1.27,0.01,1.37,3.60,4.06,5.40,10.00,1.50,1.30,5.00
path,0.54,0.24,0.29,0.60,0.37,0.23,0.57,0.30,0.26,0.68,0.17,1.98,4.23,3.44,5.50,6.00,1.50,1.15,4.00
paunch,0.68,0.14,0.54,0.73,0.07,0.67,0.71,0.10,0.60,1.81,0.36,0.23,1.67,6.47,1.70,4.00,1.85,1.70,6.00
pause,0.63,0.19,0.45,0.70,0.40,0.30,0.67,0.29,0.37,0.98,0.06,1.27,4.50,3.81,2.70,3.00,1.75,1.10,5.00
pave,0.59,0.07,0.53,0.57,0.10,0.47,0.58,0.08,0.50,1.58,0.59,0.24,3.34,4.50,4.50,17.00,1.30,1.00,4.00
paw,0.68,0.24,0.44,0.77,0.07,0.70,0.72,0.15,0.57,1.61,0.21,1.23,3.93,2.97,6.40,19.00,1.15,1.00,3.00
pawn,0.83,0.41,0.43,0.80,0.30,0.50,0.82,0.35,0.46,1.28,-0.26,0.35,2.67,5.28,5.00,11.00,1.50,1.00,4.00
pay,0.50,0.10,0.40,0.80,0.10,0.70,0.65,0.10,0.55,1.66,0.44,2.30,5.30,3.41,4.30,31.00,1.00,1.00,3.00
pea,0.76,0.11,0.65,0.83,0.13,0.70,0.80,0.12,0.68,2.00,0.17,1.04,3.77,2.69,6.80,7.00,1.15,1.00,3.00
peace,0.54,0.24,0.29,0.87,0.23,0.63,0.70,0.24,0.46,1.24,0.09,1.90,4.70,3.78,3.60,1.00,1.80,1.00,5.00
peach,0.79,0.11,0.69,0.93,0.07,0.87,0.86,0.09,0.78,2.45,0.13,0.95,3.90,2.69,6.90,10.00,1.55,1.25,5.00
peak,0.69,0.25,0.44,0.80,0.27,0.53,0.74,0.26,0.49,1.31,0.00,1.38,4.00,3.97,4.80,14.00,1.30,1.00,4.00
peal,0.46,0.24,0.22,0.73,0.17,0.57,0.60,0.20,0.39,1.08,0.29,0.30,2.53,4.59,4.70,13.00,1.00,1.00,4.00
pear,0.83,0.26,0.57,0.73,0.10,0.63,0.78,0.18,0.60,1.70,0.07,0.58,4.43,3.09,6.00,5.00,1.00,1.00,4.00
pearl,0.70,0.10,0.60,0.77,0.10,0.67,0.74,0.10,0.64,1.91,0.33,1.24,3.60,3.81,6.40,2.00,1.70,1.35,5.00
peat,0.64,0.10,0.54,0.57,0.07,0.50,0.60,0.09,0.52,1.64,0.55,0.72,1.63,6.13,2.20,15.00,1.05,1.00,4.00
peck,0.50,0.14,0.36,0.90,0.30,0.60,0.70,0.22,0.48,1.30,0.13,0.70,2.93,3.88,4.20,9.00,1.30,1.00,4.00
peel,0.79,0.18,0.61,0.80,0.33,0.47,0.80,0.26,0.54,1.49,-0.09,0.85,4.23,3.50,5.40,10.00,1.40,1.00,4.00
peep,0.59,0.17,0.43,0.93,0.37,0.57,0.76,0.27,0.50,1.34,-0.05,0.59,3.23,3.53,4.20,14.00,1.35,1.00,4.00
peer,0.64,0.24,0.40,0.87,0.37,0.50,0.75,0.30,0.45,1.20,-0.09,1.01,4.47,4.88,3.90,12.00,1.20,1.00,4.00
peg,0.67,0.27,0.40,0.83,0.17,0.67,0.75,0.22,0.53,1.46,0.05,0.90,2.63,4.13,5.10,6.00,1.30,1.25,3.00
pelt,0.66,0.18,0.48,0.70,0.17,0.53,0.68,0.17,0.50,1.40,0.24,0.37,2.28,5.44,3.50,10.00,1.50,1.40,4.00
pen,0.69,0.14,0.55,0.73,0.27,0.47,0.71,0.20,0.51,1.38,0.13,1.52,6.17,2.68,6.60,18.00,1.00,1.00,3.00
per,0.81,0.07,0.75,0.67,0.03,0.63,0.74,0.05,0.69,2.29,0.50,2.07,5.13,5.06,1.70,2.00,1.20,1.35,3.00
perch,0.76,0.11,0.65,0.77,0.10,0.67,0.76,0.10,0.66,1.98,0.27,0.76,3.19,4.63,4.70,1.00,1.85,1.75,5.00
perk,0.50,0.21,0.29,0.63,0.20,0.43,0.57,0.20,0.36,1.00,0.33,0.23,3.30,5.03,2.80,4.00,1.45,1.30,4.00
pert,0.72,0.18,0.55,0.77,0.13,0.63,0.75,0.16,0.59,1.67,0.18,0.23,2.23,6.31,2.00,1.00,1.45,1.15,4.00
pest,0.63,0.13,0.50,0.83,0.20,0.63,0.73,0.17,0.56,1.58,0.18,0.95,3.53,4.16,5.00,16.00,1.15,1.00,4.00
pet,0.72,0.25,0.47,0.67,0.23,0.43,0.70,0.24,0.45,1.21,0.09,1.66,4.80,2.60,6.40,15.00,1.00,1.00,3.00
pew,0.83,0.26,0.57,0.90,0.20,0.70,0.87,0.23,0.64,1.85,-0.19,0.32,2.40,4.41,4.20,26.00,1.10,1.15,3.00
phase,0.71,0.21,0.51,0.57,0.27,0.30,0.64,0.24,0.40,1.08,0.18,1.41,4.17,4.56,3.10,2.00,1.85,1.00,5.00
phone,0.70,0.04,0.66,0.53,0.07,0.47,0.62,0.05,0.56,1.92,0.67,1.66,6.70,2.65,6.60,16.00,1.65,1.00,5.00
phrase,0.50,0.10,0.40,0.63,0.10,0.53,0.57,0.10,0.46,1.44,0.55,1.47,4.97,4.53,3.00,2.00,2.10,1.00,6.00
pick,0.56,0.20,0.36,0.60,0.23,0.37,0.58,0.22,0.36,0.98,0.29,1.93,5.57,3.06,3.80,23.00,1.15,1.00,4.00
pie,0.66,0.04,0.62,0.80,0.17,0.63,0.73,0.10,0.63,1.88,0.33,1.26,4.17,2.84,6.70,6.00,1.10,1.00,3.00
piece,0.62,0.11,0.51,0.80,0.17,0.63,0.71,0.14,0.57,1.65,0.27,2.20,5.47,2.97,3.80,2.00,1.80,1.00,5.00
pier,0.77,0.11,0.66,0.87,0.10,0.77,0.82,0.11,0.71,2.15,0.17,0.85,3.10,4.50,6.20,2.00,1.60,1.00,4.00
pierce,0.93,0.24,0.69,0.80,0.27,0.53,0.86,0.25,0.61,1.76,-0.22,0.75,3.53,4.47,5.00,2.00,2.15,1.50,6.00
pig,0.79,0.14,0.65,0.67,0.03,0.63,0.73,0.09,0.64,1.97,0.38,1.65,4.60,2.44,6.80,15.00,1.25,1.00,3.00
pike,0.79,0.21,0.58,0.83,0.10,0.73,0.81,0.15,0.66,1.90,0.07,0.73,2.33,5.32,4.20,12.00,1.35,1.00,4.00
pile,0.64,0.34,0.30,0.70,0.27,0.43,0.67,0.31,0.37,0.95,0.03,1.66,4.66,3.84,4.80,13.00,1.15,1.00,4.00
pill,0.76,0.11,0.65,0.73,0.17,0.57,0.75,0.14,0.61,1.76,0.22,0.83,4.63,3.50,6.80,28.00,1.15,1.00,4.00
pimp,0.93,0.11,0.82,0.90,0.17,0.73,0.92,0.14,0.78,2.47,-0.14,0.11,4.60,6.23,5.60,9.00,1.65,1.65,4.00
pin,0.52,0.07,0.45,0.80,0.20,0.60,0.66,0.14,0.52,1.51,0.35,1.26,3.93,3.28,6.00,20.00,1.00,1.00,3.00
pinch,0.62,0.25,0.37,0.83,0.37,0.47,0.73,0.31,0.42,1.10,-0.05,0.84,3.67,3.28,4.70,7.00,1.75,1.55,5.00
pine,0.68,0.10,0.58,0.70,0.17,0.53,0.69,0.14,0.55,1.60,0.30,1.63,4.00,3.88,6.40,22.00,1.00,1.00,4.00
pink,0.75,0.10,0.65,0.77,0.17,0.60,0.76,0.14,0.62,1.80,0.20,1.58,4.13,2.41,5.40,19.00,1.15,1.15,4.00
pint,0.76,0.07,0.69,0.83,0.20,0.63,0.80,0.14,0.66,1.93,0.14,0.60,3.80,4.56,5.20,1.00,1.15,1.70,4.00
pip,0.79,0.11,0.69,0.87,0.10,0.77,0.83,0.10,0.73,2.22,0.15,0.70,2.43,5.73,1.70,26.00,1.00,1.00,3.00
pipe,0.59,0.21,0.37,0.83,0.33,0.50,0.71,0.27,0.44,1.15,0.02,1.62,3.30,3.84,6.30,8.00,1.45,1.25,4.00
pit,0.76,0.21,0.54,0.83,0.30,0.53,0.80,0.26,0.54,1.48,-0.09,1.20,3.67,3.56,5.20,26.00,1.00,1.00,3.00
pitch,0.86,0.28,0.58,0.53,0.37,0.17,0.70,0.32,0.37,0.97,-0.02,1.43,4.09,3.88,4.90,14.00,1.55,1.15,5.00
pith,0.66,0.11,0.55,0.83,0.23,0.60,0.74,0.17,0.57,1.61,0.15,0.35,1.97,6.30,1.90,3.00,1.60,1.25,4.00
place,0.47,0.22,0.24,0.53,0.20,0.33,0.50,0.21,0.29,0.80,0.40,2.86,5.67,3.09,3.70,12.00,1.55,1.40,5.00
plaid,0.72,0.11,0.62,0.87,0.10,0.77,0.80,0.10,0.69,2.09,0.22,0.47,3.30,4.78,5.70,1.00,1.75,1.20,5.00
plain,0.45,0.21,0.23,0.57,0.27,0.30,0.51,0.24,0.27,0.72,0.34,1.88,4.97,3.39,3.50,21.00,1.70,1.20,5.00
plan,0.34,0.29,0.06,0.57,0.27,0.30,0.46,0.28,0.18,0.48,0.35,2.19,5.27,3.56,2.80,20.00,1.50,1.35,4.00
plane,0.52,0.17,0.35,0.70,0.13,0.57,0.61,0.15,0.46,1.31,0.38,1.87,4.37,3.16,6.80,11.00,1.40,1.20,5.00
plank,0.86,0.31,0.55,0.73,0.23,0.50,0.80,0.27,0.52,1.43,-0.11,0.81,2.70,4.72,4.90,23.00,1.50,1.65,5.00
plant,0.72,0.14,0.58,0.73,0.23,0.50,0.73,0.19,0.54,1.49,0.14,2.37,5.13,3.25,6.30,11.00,1.55,1.60,5.00
plate,0.64,0.17,0.47,0.67,0.10,0.57,0.65,0.14,0.52,1.50,0.35,1.82,5.57,2.78,6.40,19.00,1.50,1.25,5.00
play,0.59,0.14,0.44,0.63,0.03,0.60,0.61,0.09,0.52,1.63,0.54,2.45,5.93,2.28,4.50,31.00,1.45,1.10,4.00
plea,0.78,0.30,0.48,0.70,0.40,0.30,0.74,0.35,0.39,1.03,-0.13,0.69,2.83,5.25,2.90,7.00,1.75,1.35,4.00
plead,0.54,0.41,0.12,0.77,0.53,0.23,0.65,0.47,0.18,0.45,-0.16,0.49,3.37,4.78,3.70,6.00,1.75,1.40,5.00
please,0.59,0.18,0.41,0.67,0.07,0.60,0.63,0.12,0.50,1.48,0.42,1.99,6.73,2.38,2.40,3.00,1.80,1.40,6.00
pleat,0.75,0.21,0.54,0.77,0.20,0.57,0.76,0.20,0.55,1.53,0.06,0.13,2.70,5.58,2.90,15.00,1.65,1.30,5.00
pledge,0.89,0.31,0.58,0.87,0.30,0.57,0.88,0.31,0.57,1.68,-0.33,0.82,4.40,4.34,3.70,9.00,2.10,1.80,6.00
plight,0.86,0.21,0.65,0.77,0.20,0.57,0.81,0.21,0.61,1.71,-0.04,0.70,3.00,6.34,2.00,18.00,1.75,1.50,6.00
plod,0.66,0.18,0.48,0.70,0.17,0.53,0.68,0.17,0.50,1.40,0.24,0.17,1.90,6.03,1.80,16.00,1.65,1.60,4.00
plop,0.83,0.18,0.65,0.83,0.23,0.60,0.83,0.21,0.62,1.78,-0.07,0.52,3.22,3.78,3.00,22.00,1.45,1.55,4.00
plot,0.79,0.38,0.41,0.80,0.47,0.33,0.79,0.42,0.37,1.01,-0.31,1.41,3.83,4.39,3.20,23.00,1.45,1.40,4.00
plow,0.78,0.30,0.48,0.77,0.37,0.40,0.77,0.33,0.44,1.18,-0.16,1.18,2.90,4.06,5.60,1.00,1.45,1.60,4.00
ploy,0.44,0.07,0.38,0.63,0.07,0.57,0.54,0.07,0.47,1.60,0.70,0.09,3.00,6.06,2.10,10.00,1.70,1.90,4.00
pluck,0.64,0.21,0.44,0.87,0.27,0.60,0.75,0.24,0.52,1.41,0.01,0.50,3.30,4.59,4.10,17.00,1.80,1.45,5.00
plug,0.59,0.46,0.12,0.73,0.33,0.40,0.66,0.40,0.26,0.67,-0.08,1.00,3.93,3.58,4.90,18.00,1.75,1.50,4.00
plum,0.66,0.18,0.48,0.77,0.33,0.43,0.71,0.26,0.45,1.21,0.05,0.78,3.40,3.28,6.40,16.00,1.60,1.50,4.00
plumb,0.86,0.24,0.62,0.80,0.07,0.73,0.83,0.15,0.67,1.97,0.04,0.44,2.23,4.53,3.70,5.00,1.85,1.50,5.00
plume,0.96,0.31,0.65,0.97,0.27,0.70,0.97,0.29,0.68,2.38,-0.63,0.41,2.30,5.66,3.40,5.00,1.75,1.60,5.00
plump,0.83,0.29,0.54,0.83,0.43,0.40,0.83,0.36,0.47,1.32,-0.30,0.96,3.63,4.31,4.30,17.00,1.65,1.55,5.00
plunge,0.70,0.33,0.37,0.80,0.47,0.33,0.75,0.40,0.35,0.93,-0.21,0.74,3.27,4.94,3.70,3.00,1.80,2.20,6.00
plus,0.37,0.07,0.29,0.60,0.03,0.57,0.48,0.05,0.43,1.57,0.83,1.40,4.80,3.13,3.00,6.00,1.75,1.65,4.00
plush,0.64,0.31,0.33,0.90,0.23,0.67,0.77,0.27,0.50,1.35,-0.07,0.43,2.90,5.13,3.20,13.00,1.70,1.55,5.00
poach,0.77,0.07,0.69,0.87,0.07,0.80,0.82,0.07,0.75,2.38,0.29,0.02,2.67,5.50,3.90,4.00,1.70,1.70,5.00
pod,0.64,0.10,0.54,0.93,0.17,0.77,0.79,0.14,0.65,1.90,0.15,0.80,3.00,4.87,4.00,16.00,1.25,1.00,3.00
point,0.59,0.21,0.37,0.53,0.17,0.37,0.56,0.19,0.37,1.03,0.36,2.43,5.47,2.88,5.20,2.00,1.75,1.80,5.00
poise,0.78,0.20,0.58,0.80,0.27,0.53,0.79,0.23,0.56,1.53,-0.04,0.36,3.20,5.53,3.20,2.00,1.75,1.50,5.00
poke,0.71,0.21,0.51,0.90,0.23,0.67,0.81,0.22,0.59,1.64,-0.05,0.73,3.73,3.28,4.50,13.00,1.20,1.00,4.00
pole,0.69,0.04,0.65,0.63,0.20,0.43,0.66,0.12,0.54,1.60,0.38,1.90,3.93,3.44,5.80,14.00,1.20,1.00,4.00
poll,0.60,0.11,0.49,0.77,0.30,0.47,0.68,0.21,0.48,1.30,0.17,0.75,3.53,4.63,3.70,9.00,1.30,1.00,4.00
pomp,0.76,0.14,0.62,0.77,0.07,0.70,0.76,0.10,0.66,1.97,0.27,0.28,2.17,6.31,1.70,4.00,1.75,1.70,4.00
pond,0.86,0.34,0.51,0.90,0.07,0.83,0.88,0.21,0.67,1.99,-0.17,1.79,3.53,3.16,6.50,5.00,1.65,1.50,4.00
pooch,0.86,0.24,0.62,0.77,0.07,0.70,0.81,0.15,0.66,1.90,0.07,0.07,2.78,4.38,5.10,5.00,1.70,1.70,5.00
poof,0.70,0.41,0.29,0.90,0.13,0.77,0.80,0.27,0.53,1.45,-0.11,0.26,3.00,3.28,3.30,6.00,1.40,1.60,4.00
pool,0.75,0.21,0.54,0.83,0.17,0.67,0.79,0.19,0.60,1.70,0.04,1.65,4.23,2.74,6.70,8.00,1.45,1.00,4.00
