item,e1hit,e1fa,e1h_fa,e2hit,e2fa,e2h_fa,both_hit,both_fa,both_h_fa,d_both,c_both,logzeno,sub_freq,aoa,img_rating,pon,old,pld,Length
apse,0.73,0.07,0.66,0.80,0.03,0.77,0.77,0.05,0.71,2.34,0.44,0.13,1.28,6.65,1.30,2.00,1.90,1.15,4.00
apt,0.86,0.18,0.68,0.97,0.20,0.77,0.91,0.19,0.73,2.25,-0.24,1.03,2.67,6.03,1.90,2.00,1.65,1.15,3.00
arc,0.75,0.10,0.65,0.87,0.10,0.77,0.81,0.10,0.71,2.14,0.20,1.16,3.10,4.97,5.00,2.00,1.70,1.45,3.00
arch,0.79,0.18,0.61,0.67,0.13,0.53,0.73,0.16,0.57,1.62,0.20,1.11,4.03,4.38,5.10,5.00,1.80,1.75,4.00
are,0.45,0.00,0.45,0.63,0.20,0.43,0.54,0.10,0.44,1.38,0.59,3.81,6.73,2.66,1.30,1.00,1.00,1.00,3.00
ark,0.72,0.18,0.55,0.80,0.23,0.57,0.76,0.21,0.56,1.53,0.05,0.63,5.23,3.44,5.70,12.00,1.40,1.45,3.00
arm,0.69,0.14,0.55,0.63,0.03,0.60,0.66,0.09,0.57,1.77,0.47,2.09,5.23,2.25,6.80,5.00,1.45,1.55,3.00
art,0.70,0.15,0.55,0.93,0.10,0.83,0.82,0.12,0.69,2.06,0.13,1.98,4.77,3.03,4.60,11.00,1.10,1.30,3.00
arts,0.66,0.04,0.62,0.60,0.10,0.50,0.63,0.07,0.56,1.82,0.58,1.36,5.31,3.63,4.00,3.00,1.45,1.65,4.00
ash,0.83,0.18,0.65,0.77,0.10,0.67,0.80,0.14,0.66,1.91,0.13,1.17,3.93,3.88,5.70,22.00,1.15,1.00,3.00
ask,0.44,0.20,0.24,0.57,0.07,0.50,0.51,0.13,0.37,1.12,0.55,2.30,6.48,2.52,2.70,6.00,1.50,1.55,3.00
ass,0.89,0.07,0.82,0.87,0.03,0.83,0.88,0.05,0.83,2.81,0.23,0.57,5.93,4.53,6.00,11.00,1.45,1.00,3.00
ate,0.68,0.14,0.54,0.73,0.13,0.60,0.71,0.14,0.57,1.64,0.28,1.93,6.53,2.87,3.90,19.00,1.00,1.00,3.00
aunt,0.79,0.18,0.61,0.83,0.03,0.80,0.81,0.11,0.71,2.14,0.18,2.01,4.63,2.42,6.20,1.00,1.45,1.20,4.00
axe,0.82,0.31,0.51,0.83,0.27,0.57,0.83,0.29,0.54,1.50,-0.19,0.75,2.40,3.78,6.30,1.00,1.40,1.00,3.00
aye,0.86,0.21,0.65,0.90,0.07,0.83,0.88,0.14,0.74,2.26,-0.04,0.84,2.59,5.94,1.70,1.00,1.20,1.00,3.00
babe,0.72,0.04,0.69,0.87,0.03,0.83,0.80,0.03,0.76,2.64,0.50,1.03,4.94,3.88,5.70,1.00,1.50,1.05,4.00
back,0.50,0.24,0.26,0.63,0.13,0.50,0.57,0.19,0.38,1.06,0.36,3.07,5.80,2.63,5.00,24.00,1.00,1.00,4.00
bad,0.54,0.24,0.29,0.53,0.10,0.43,0.53,0.17,0.36,1.04,0.43,2.26,6.27,1.84,2.40,17.00,1.00,1.00,3.00
badge,0.75,0.14,0.61,0.80,0.13,0.67,0.78,0.14,0.64,1.86,0.17,0.62,3.03,3.81,5.90,2.00,1.75,1.85,5.00
bag,0.62,0.21,0.41,0.67,0.03,0.63,0.64,0.12,0.52,1.52,0.39,1.90,5.70,2.75,6.40,22.00,1.00,1.00,3.00
bail,0.67,0.22,0.44,0.87,0.20,0.67,0.77,0.21,0.56,1.53,0.04,0.49,3.27,5.00,3.90,19.00,1.15,1.00,4.00
bait,0.64,0.24,0.40,0.77,0.30,0.47,0.70,0.27,0.43,1.15,0.04,1.00,3.20,3.71,5.60,6.00,1.70,1.00,4.00
bald,0.86,0.04,0.83,0.83,0.10,0.73,0.85,0.07,0.78,2.52,0.23,1.03,4.07,3.78,6.20,2.00,1.50,1.30,4.00
bale,0.55,0.07,0.48,0.70,0.17,0.53,0.63,0.12,0.51,1.50,0.43,0.44,2.53,5.38,3.40,16.00,1.00,1.00,4.00
ball,0.59,0.23,0.36,0.87,0.20,0.67,0.73,0.22,0.51,1.40,0.09,2.25,5.30,2.25,6.60,13.00,1.00,1.00,4.00
balm,0.76,0.18,0.58,0.80,0.23,0.57,0.78,0.21,0.57,1.59,0.03,0.20,3.09,5.16,4.30,5.00,1.60,1.00,4.00
ban,0.78,0.10,0.68,0.63,0.17,0.47,0.71,0.13,0.57,1.65,0.29,0.65,3.73,4.81,2.90,20.00,1.00,1.00,3.00
band,0.48,0.29,0.20,0.70,0.20,0.50,0.59,0.24,0.35,0.93,0.23,1.76,4.50,3.72,6.00,12.00,1.00,1.00,4.00
bane,0.59,0.18,0.41,0.67,0.10,0.57,0.63,0.14,0.49,1.41,0.38,0.17,2.13,6.35,2.10,11.00,1.00,1.00,4.00
bang,0.68,0.34,0.33,0.83,0.23,0.60,0.76,0.29,0.47,1.25,-0.07,1.16,3.87,2.84,3.70,16.00,1.20,1.00,4.00
bank,0.79,0.10,0.68,0.63,0.13,0.50,0.71,0.12,0.59,1.74,0.32,2.09,4.80,3.53,6.10,23.00,1.05,1.05,4.00
