word_us,n_phon,phono_upoint,pld20_m,pld20_sd,sg_ldt_acc,sg_ldt_acc_n,us_ldt_acc,us_ldt_acc_n,uk_ldt_acc,uk_ldt_acc_n,sg_ldt_zrt_m,sg_ldt_zrt_sd,sg_ldt_zrt_n,us_ldt_zrt_m,us_ldt_zrt_sd,us_ldt_zrt_n,uk_ldt_zrt_m,uk_ldt_zrt_sd,uk_ldt_zrt_n,sg_ldt_zrtmdur_m,sg_ldt_zrtmdur_sd,sg_ldt_zrtmdur_n,us_ldt_zrtmdur_m,us_ldt_zrtmdur_sd,us_ldt_zrtmdur_n,uk_ldt_zrtmdur_m,uk_ldt_zrtmdur_sd,uk_ldt_zrtmdur_n,...30
resort,6,4,2.05,0.51041778553404,0.925925926,54,0.846153846,65,0.964912281,57,-0.178139136,0.692011572,47,-0.30514843,0.704560551,54,-0.225013089,0.557321192,55,0.066195154,0.687546478,47,0.140861615,0.663837611,54,-0.347982076,0.483813237,55,NA
resource,6,4,2.55,0.604805318829299,0.943396226,53,0.970588235,68,0.925925926,54,-0.311505954,0.686859072,50,-0.579435413,0.666011067,66,-0.185621368,0.438315234,49,-0.296710382,0.675183928,50,-0.876809665,0.657209492,66,-0.565194459,0.423585844,49,NA
respect,7,8,2.4,0.5982430416161191,0.944444444,54,0.984848485,66,1,56,-0.370785334,0.707472834,50,-0.661458218,0.462001028,65,-0.574226849,0.471157421,55,-0.221223721,0.489256085,50,-0.3334254,0.507729644,65,-0.519300337,0.518508492,55,NA
respectable,11,10,3.3,0.656946685331786,0.981481481,54,0.969230769,65,0.98245614,57,0.029289676,0.559809286,52,-0.080030163,0.667700239,59,0.176443602,0.620234878,56,-0.693000852,0.495690591,52,-0.246159566,0.663040509,59,-0.262152751,0.591717393,56,NA
respiration,10,8,2.35,0.7451598203705939,0.963636364,55,1,66,1,56,0.308590549,0.598430074,52,0.041233283,0.531673323,65,-0.183719868,0.455403831,56,-0.954842225,0.565567984,52,-0.544475104,0.492391495,65,-0.808577943,0.363941915,56,NA
respirator,10,8,3.4,0.5982430416161191,0.944444444,54,0.939393939,66,0.982142857,56,0.373613822,0.588740047,47,0.443789629,0.7436614,61,0.554701199,0.714267736,51,-0.213470724,0.508675815,47,0.189282636,0.754432725,61,0.166399974,0.693744151,51,NA
respiratory,11,6,4.3,0.656946685331786,0.981481481,54,0.909090909,66,0.929824561,57,0.49699042,0.633569705,51,0.508287359,0.570074576,57,0.424491497,0.505546072,51,-0.544283186,0.567257112,51,-0.60486486800000006,0.459630977,57,-0.46396085,0.444656289,51,NA
respond,7,8,2.75,0.55011960422018,0.944444444,54,0.954545455,66,1,56,-0.060565911,0.682282822,50,-0.265629418,0.649544103,63,-0.203785642,0.599352187,56,-0.494755603,0.782366224,50,-0.548056789,0.559807917,63,-0.472575517,0.57441836,56,NA
response,7,8,2.75,0.55011960422018,0.981481481,54,0.938461538,65,0.982142857,56,-0.266511761,0.591495977,53,0.116377421,0.752001136,61,-0.304326115,0.639820783,53,-0.466148832,0.585220445,53,-0.308412221,0.727641963,61,-0.632053213,0.642600517,53,NA
rest,4,5,1,0,0.943396226,53,0.925373134,67,0.981481481,54,-0.75669112,0.517683976,50,-0.783826581,0.510633213,62,-0.570241189,0.594810482,51,0.059023741,0.627909484,50,-0.453292642,0.508907381,62,-0.145568725,0.70355501,51,NA
