Occurrences,Word,LgSUBTLWF,OLD,PLD,I_Mean_RT,I_Zscore,I_Mean_Accuracy
1,overtake,1.58,2.45,2.4,704.156,-0.38,0.97
1,overthrow,1.845,3.3,2.8,709.531,-0.203,0.97
1,overtime,2.504,2.6,3.2,599,-0.602,1
1,overture,1.826,2.4,3.4,796.931,-0.159,0.88
1,overweight,1.973,3.65,2.35,713.647,-0.356,1
1,overwhelm,1.556,3.65,3.65,766.406,-0.088,0.97
1,overworked,1.708,3.5,3.5,691.5,-0.217,1
1,overwrought,1.556,4.7,2.2,848.444,0.361,0.56
1,owe,3.578,1.45,1,640.607,-0.474,0.85
1,ownership,2.068,3.65,3.4,760.233,-0.154,0.91
1,ozone,2.041,1.95,1.95,651.613,-0.4,0.94
1,pace,2.689,1,1,645.387,-0.651,0.97
1,pacemaker,1.591,3.55,3.5,803.065,-0.024,0.91
1,pacifier,1.322,2.85,3.65,840.258,0.12,0.94
1,pacifist,1.556,3.05,2.9,774.486,0.063,0.97
1,pacify,1.322,2.5,2.6,652,-0.27,0.84
1,package,3.066,2.7,2.15,629.941,-0.618,1
1,packaging,1.643,2.95,2.75,757.152,-0.05,0.97
1,packet,2.111,1.7,1.55,625.933,-0.477,0.94
1,pact,2.286,1.55,1,733.633,-0.334,0.86
1,padding,1.699,1.9,1.5,705.656,-0.211,0.94
1,paddle,2.283,1.7,1.3,659.1,-0.503,0.94
1,padlock,1.556,2.6,2.85,759.677,-0.101,0.89
1,pagan,1.845,1.9,1.95,776.75,-0.023,0.71
1,pageant,2.389,2.45,2.25,881.3,0.047,0.91
1,paging,2.021,1.55,1.8,666.516,-0.349,0.94
1,pagoda,1.756,2.8,2.75,752.882,0.28,0.5
1,pain,3.699,1.15,1,549.912,-0.913,1
1,painful,2.889,2.7,2,581.121,-0.762,1
1,painkiller,1.447,4.55,4.3,749.125,-0.104,0.97
1,painless,2,2.25,1.95,601.686,-0.573,1
1,paintbrush,1.447,4.4,4.6,648.912,-0.484,0.97
1,pajama,1.819,2.7,3.45,761.414,-0.135,0.91
1,palace,2.991,1.85,1.35,747.867,-0.242,0.91
1,palate,1.708,1.85,1.55,875.2,0.498,0.74
1,paleontology,1.342,5.25,5.6,"1,091.714",0.908,0.66
1,palette,1.477,2.75,1.55,885.167,0.198,0.8
1,pallet,1.342,1.8,1.55,644.654,-0.372,0.79
1,palpable,1.342,2.35,2.45,773.92,-0.015,0.74
1,pamper,1.431,1.7,1.7,669.412,-0.441,1
1,pamphlet,1.785,3.15,2.6,708.719,-0.309,0.94
1,pancreas,1.613,2.95,3.65,807.903,0.105,0.91
1,pane,1.398,1,1,763.64,-0.111,0.71
1,pang,1.914,1.3,1,723.526,0.07,0.56
1,panhandle,1.322,3.75,4.5,780.182,0.037,0.97
1,panic,3.047,1.9,1.8,549.484,-0.802,1
1,panicky,1.756,2.8,2.35,763.048,0.095,0.7
1,panther,2.121,1.95,1.9,718.656,-0.207,0.97
1,panties,2.618,1.85,1.75,672.121,-0.353,1
1,pantry,1.954,1.85,2.05,701.727,-0.379,0.97
1,pants,3.477,1.55,1.75,581.588,-0.701,1
1,paperback,1.38,3.65,3.7,672.941,-0.363,1
1,paperweight,1.342,4.6,3.9,784,-0.066,1
1,paperwork,2.726,3.6,4.15,626.424,-0.459,1
1,paprika,1.623,2.95,3.15,735.357,0.031,0.82
1,par,2.405,1,1,770.042,-0.029,0.73
1,parachute,2.212,3.7,3.5,691.152,-0.284,0.97
1,parade,2.818,1.9,1.85,643.382,-0.546,1
1,paradigm,1.58,3.05,2.65,830.538,0.008,0.81
1,paradise,2.831,2.7,2.65,660.176,-0.47,1
1,paradox,1.819,2.7,3.35,723.7,-0.241,0.91
1,paragraph,2.161,3.7,3.25,634.303,-0.511,1
1,parakeet,1.748,2.85,3.2,"1,050.071",0.461,0.85
1,parallel,2.352,2.75,2.7,667.485,-0.431,0.97
1,paralysis,2.004,3.35,4.25,752.677,-0.142,0.94
1,paralyze,1.398,2.85,2.5,683.788,-0.302,0.97
1,paramilitary,1.322,5.1,6.55,"1,229.833",1.557,0.55
1,paranoia,2.137,2.95,3.85,865.531,-0.041,0.97
1,paranoid,2.736,3.1,3.95,667.625,-0.466,0.94
1,paranormal,1.833,4.1,5,"1,000.926",0.481,0.87
1,paraphernalia,1.505,6.2,6.8,943.789,0.546,0.7
1,parasite,2.104,2.8,2.65,781.733,-0.205,0.94
1,parasitic,1.398,3.55,3.8,789.806,0.103,0.89
1,parched,1.771,1.8,1.85,746.536,-0.185,0.82
