intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
,,,,,0,,,,,,,A1_B2,replace,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,23,23,93,1,30,A2_B2,2.541666667,Verb,1,7.2,3,5.56,2.834,7,,,
,,,,,1,,,,,,,A1_B1,time,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,24,24,200,1,62,A1_B1,2.88,Noun,0.99,5.16,3.07,5.6,5,4,,,
,,,,k,1,0.8926,,,,,,A2_B2,persuade,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,25,25,167,1,52,A1_B1,5.173913043,Verb,1,10.79,2.07,5.67,2.514,8,,,
,,,,,1,,,,,,,A2_B1,warfare,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,26,26,150,1,46,A2_B2,5.571428571,Noun,1,8.95,3.03,3.14,2.179,7,,,
,,,,,1,,,,,,,A1_B1,outcome,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,27,27,216,1,67,A2_B1,2.956521739,Noun,1,9.53,2.27,5.62,2.305,7,,,
,,,,,1,,,,,,,A1_B1,fraction,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,28,28,88,1,28,A2_B2,1.916666667,Noun,1,10.06,3.1,5.21,2.021,8,,,
,,,,,0,,,,,,,A2_B2,connect,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,29,29,255,1,5,A2_B1,5.708333333,Verb,1,7.58,2.88,6.61,2.693,7,,,
,,,,,1,,,,,,,A2_B1,esteem,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,30,30,42,1,14,A1_B2,5.217391304,Noun,1,10.55,1.83,6.38,1.94,6,,,
,,,,,1,,,,,,,A1_B1,wrapper,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,31,31,228,1,70,A2_B1,2.045454545,Noun,1,6.11,4.39,4.79,1.935,7,,,
,,,,,1,,,,,,,A1_B1,timing,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,32,32,136,1,43,A1_B2,2.714285714,Noun,0.96,8.84,2.86,5.67,2.884,6,,,
,,,,,1,,,,,,,A1_B1,drawback,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,33,33,128,1,41,A1_B1,2.708333333,Noun,1,9.63,2.52,4.38,1.518,8,,,
,,,,,1,,,,,,,A2_B1,presenter,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,34,34,134,1,42,A1_B1,5.238095238,Noun,1,8.9,3.96,5.71,1.322,9,,,
,,,,,0,,,,,,,A1_B2,lighten,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,35,35,145,1,45,A2_B2,2.636363636,Verb,1,7.95,2.93,6.21,2.48,7,,,
,,,,,1,,,,,,,A2_B1,event,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,36,36,138,1,43,A1_B2,5.130434783,Noun,1,7.81,2.69,6.21,3.129,5,,,
,,,,,1,,,,,,,A2_B1,heroism,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,37,37,194,1,60,A2_B1,6.086956522,Noun,1,9.55,2.67,7.05,1.756,7,,,
,,,,k,1,0.5841,,,,,,A1_B2,restore,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,38,38,89,1,28,A2_B2,2.583333333,Verb,1,10.78,2.79,5.86,2.405,7,,,
,,,,,1,,,,,,,A2_B1,etiquette,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,39,39,198,1,61,A1_B2,5.19047619,Noun,1,9.5,2.15,6,1.987,9,,,
,,,,,0,,,,,,,A1_B2,subside,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,40,40,257,1,6,A1_B1,2.590909091,Verb,1,10.44,2.26,5.42,1.322,7,,,
,,,,k,1,0.7848,,,,,,A2_B2,supervise,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,41,41,99,1,32,A2_B1,5.318181818,Verb,1,11,2.48,5.05,1.996,9,,,
,,,,,1,,,,,,,A1_B1,summary,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,42,42,224,1,69,A1_B2,2.523809524,Noun,1,8,3.03,5.05,1.935,7,,,
,,,,,1,,,,,,,A1_B1,agility,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,43,43,48,1,17,A2_B1,2.869565217,Noun,1,10.06,2.38,6.55,1.38,7,,,
,,,,k,0,2.517,,,,,,A2_B1,reviewer,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,44,44,10,1,4,A1_B2,5.272727273,Noun,1,9.68,3.67,5.16,1.431,8,,,
,,,,,1,,,,,,,A2_B1,stepson,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,45,45,226,1,69,A1_B2,5.083333333,Noun,1,7.94,3.68,4.81,1.447,7,,,
,,,,,1,,,,,,,A2_B1,sinner,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,46,46,206,1,63,A2_B2,5.818181818,Noun,0.92,7.35,3.07,3.25,2.104,6,,,
,,,,,0,,,,,,,A1_B2,rearrange,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,47,47,237,1,1,A2_B1,2.727272727,Verb,1,8.11,3.26,5.52,1.949,9,,,
,,,,,1,,,,,,,A1_B1,finale,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,48,48,248,1,4,A1_B1,2.875,Noun,1,7.74,2.76,5.26,2.1,6,,,
,,,,,1,,,,,,,A1_B1,fortnight,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,49,49,60,1,20,A2_B1,2.347826087,Noun,1,10.53,2.71,5.5,1.672,9,,,
,,,,,1,,,,,,,A1_B1,fluke,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,50,50,232,1,71,A1_B1,2.526315789,Noun,1,10.1,2.34,4.3,1.954,5,,,
,,,,k,1,1.8324,,,,,,A1_B2,generate,k,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,51,51,73,1,23,A1_B1,2.636363636,Verb,1,10.78,2.23,6.14,2.097,8,,,
,,,,,1,,,,,,,A2_B1,history,,R_PNWpofcPRcPwCit,MainVerb,2022-06-13_18h24.32.465,SCT_verb,2021.2.3,Win32,60.57302078,,,,0,52,52,94,1,30,A2_B2,5.416666667,Noun,1,6.42,2.96,6,3.631,7,,,
